iter	RMSE
0	0.910391743
1	0.8290458746
2	0.7582474659
3	0.6909839329
4	0.6303585183
5	0.5757062735
6	0.5267755282
7	0.4822770263
8	0.4429995367
9	0.4073989072
10	0.3774830754
11	0.3491830049
12	0.32419573
13	0.3021386013
14	0.2818262864
15	0.2634922066
16	0.2477841646
17	0.2331973911
18	0.2219318846
19	0.2111571399
20	0.2015601169
21	0.1934886459
22	0.1859854835
23	0.1793155979
24	0.1740784602
25	0.1688898956
26	0.1645048776
27	0.1607051192
28	0.1573359229
29	0.1544585055
30	0.1521286921
31	0.150141514
32	0.1484949182
33	0.1468306168
34	0.1455773293
35	0.1443572731
36	0.1431579837
37	0.1422046136
38	0.1414495521
39	0.1407485317
40	0.1396933548
41	0.1389530877
42	0.1384424456
43	0.1378097819
44	0.1372803811
45	0.1367003906
46	0.1362504079
47	0.1357129997
48	0.1351381888
49	0.1343784023
50	0.1340843033
51	0.1335902489
52	0.1331975191
53	0.132842854
54	0.1324933913
55	0.1320299248
56	0.1317431162
57	0.1313731367
58	0.1309926805
59	0.1307108132
60	0.1304778484
61	0.1301127214
62	0.1299312196
63	0.1296589801
64	0.1294323311
65	0.129240157
66	0.1289679359
67	0.1286895847
68	0.1285337865
69	0.1282333617
70	0.1280858836
71	0.1276315582
72	0.1274037414
73	0.1271647393
74	0.1269685927
75	0.126595978
76	0.1264149488
77	0.1261332229
78	0.1259744911
79	0.1256379231
80	0.125374417
81	0.1252167203
82	0.125078988
83	0.1248640723
84	0.1246801979
85	0.1245291076
86	0.1243327389
87	0.1239371156
88	0.1236655668
89	0.1234831033
90	0.1231555394
91	0.1228839069
92	0.122579529
93	0.1224393658
94	0.1222185864
95	0.1220121773
96	0.1218094739
97	0.1216714547
98	0.1214088642
99	0.121239438
100	0.1209519261
101	0.1207860429
102	0.1206351334
103	0.1204670829
104	0.1203692123
105	0.1200906669
106	0.1198035292
107	0.1195537679
108	0.1194051163
109	0.1190608388
110	0.1187929439
111	0.1186604708
112	0.1184521397
113	0.1182948767
114	0.1181007688
115	0.1178065479
116	0.1176756126
117	0.1174536877
118	0.1172716565
119	0.1171214258
120	0.1168934021
121	0.1167483241
122	0.1165075296
123	0.1163769035
124	0.1161771669
125	0.1159784218
126	0.1158116316
127	0.1156541351
128	0.1155116958
129	0.1152756095
130	0.1150960529
131	0.1149917078
132	0.1147860285
133	0.1146314308
134	0.1144112232
135	0.114263989
136	0.1140792218
137	0.1139774674
138	0.1138354272
139	0.1137131748
140	0.1134499585
141	0.1133053554
142	0.1131080508
143	0.1129223729
144	0.1127507254
145	0.1126115559
146	0.1124785077
147	0.1123549166
148	0.1121818031
149	0.1120451482
150	0.111977196
151	0.1119115016
152	0.1117931512
153	0.1117095046
154	0.1116185269
155	0.1113925635
156	0.1112751235
157	0.1112103801
158	0.111108627
159	0.1109923455
160	0.1108374044
161	0.1107059848
162	0.110570437
163	0.1104558216
164	0.110361867
165	0.1101708949
166	0.1100742227
167	0.1099482901
168	0.1098361914
169	0.1096696708
170	0.1095062224
171	0.1094558699
172	0.1093324941
173	0.1092500593
174	0.1091972708
175	0.1090976765
176	0.1090013197
177	0.1088971566
178	0.108757558
179	0.1086992316
180	0.1085868496
181	0.1084184392
182	0.10831802
183	0.1081080561
184	0.1079810094
185	0.1078759519
186	0.1077312569
187	0.1075958456
188	0.1074697027
189	0.1073688752
190	0.1072402265
191	0.1071138516
192	0.1069745199
193	0.106846922
194	0.1067625546
195	0.1066903336
196	0.1066039023
197	0.106512138
198	0.1064165586
199	0.1062285188
200	0.1061235354
201	0.1059866536
202	0.1058856032
203	0.1057746885
204	0.1056934274
205	0.1056496458
206	0.1055095261
207	0.1054695248
208	0.1053757784
209	0.1052902125
210	0.1052095923
211	0.1051312604
212	0.1050627639
213	0.1050369416
214	0.1049568624
215	0.1048628794
216	0.1047952937
217	0.1046936603
218	0.1046225668
219	0.1045315988
220	0.1044452621
221	0.1043644256
222	0.1042567681
223	0.1041614977
224	0.104037521
225	0.1039457323
226	0.1038439666
227	0.1037914665
228	0.1037135703
229	0.1036649955
230	0.1036391627
231	0.1035585983
232	0.103422234
233	0.1033324275
234	0.1032254825
235	0.1030956093
236	0.1030272971
237	0.10294394
238	0.1028313526
239	0.1027780515
240	0.1026877913
241	0.102599051
242	0.1024432644
243	0.1023210971
244	0.102239083
245	0.1021386412
246	0.1020743955
247	0.1020144786
248	0.1019069758
249	0.1018096272
250	0.101785833
251	0.101692286
252	0.101603823
253	0.1015274497
254	0.1014116279
255	0.1012594681
256	0.1011613824
257	0.1011100185
258	0.1010491026
259	0.1009186912
260	0.1008134115
261	0.1007268746
262	0.1006742421
263	0.1005722444
264	0.1004581862
265	0.1003700194
266	0.100267967
267	0.1001307366
268	0.1000541313
269	0.09997442797
270	0.0998888583
271	0.09985280182
272	0.099770805
273	0.09967094628
274	0.09961509784
275	0.09957987203
276	0.09947028979
277	0.09936822678
278	0.09926478642
279	0.09922398245
280	0.09921186003
281	0.09913133424
282	0.09910040126
283	0.0989985618
